source_job_id,original_job_title,company,industry_raw,normalized_role,role_family,role_group,role_level,is_ict,ict_role_confidence,role_normalization_confidence,role_group_confidence,classification_reason,normalization_reason,needs_manual_review,manual_review_reason
99000,Cloud Architect (M/F),AFRICASHORE,,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,Not Specified,True,0.5,0.85,0.9,Title strongly indicates ICT role: 'Cloud Architect (M/F)',Cloud architecture/specialist title maps to DevOps / Cloud Engineer,True,Low ICT classification confidence (0.5)
99001,Cloud Computing and Virtualization Engineer (M/F),AFRICASHORE,,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,Not Specified,True,0.6,0.85,0.9,Title strongly indicates ICT role: 'Cloud Computing and Virtualization Engineer (M/F)'; Weak ICT function evidence (1 keyword clusters),Cloud architecture/specialist title maps to DevOps / Cloud Engineer,False,
99002,Cloud Engineer (M/F),AFRICASHORE,,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,Not Specified,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'Cloud Engineer (M/F)'; Weak ICT function evidence (1 keyword clusters),Title indicates cloud engineering,False,
99003,Cloud Microservices Architect (M/F),AFRICASHORE,,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,Not Specified,True,0.6,0.85,0.9,Title strongly indicates ICT role: 'Cloud Microservices Architect (M/F)'; Weak ICT function evidence (1 keyword clusters),Cloud architecture/specialist title maps to DevOps / Cloud Engineer,False,
99004,Cloud System Administrator (M/F),AFRICASHORE,,Systems Administrator,Systems & Infrastructure,Systems & Infrastructure,Not Specified,True,0.6,0.95,1.0,Title strongly indicates ICT role: 'Cloud System Administrator (M/F)'; Weak ICT function evidence (2 keyword clusters),Title indicates systems administration,False,
99005,Cloud System Integrator (M/F),AFRICASHORE,,Systems Administrator,Systems & Infrastructure,Systems & Infrastructure,Not Specified,True,0.5,0.85,0.9,Title strongly indicates ICT role: 'Cloud System Integrator (M/F)',Cloud system admin maps to Systems Administrator,True,Low ICT classification confidence (0.5)
99006,Cyber Security Engineer (M/F),AFRICASHORE,,Cybersecurity Analyst / Security Engineer,Cybersecurity,Cybersecurity,Not Specified,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'Cyber Security Engineer (M/F)'; Weak ICT function evidence (1 keyword clusters),Title indicates cybersecurity role,False,
99007,DATASTAGE Architect (M/F),AFRICASHORE,,Data Engineer,Data & Analytics,Data & Analytics,Not Specified,True,0.5,0.75,0.8,Title strongly indicates ICT role: 'DATASTAGE Architect (M/F)',Data platform architect maps to Data Engineer,True,Low ICT classification confidence (0.5)
99008,GENESYS Architect (M/F),AFRICASHORE,,Data Engineer,Data & Analytics,Data & Analytics,Not Specified,True,0.5,0.75,0.8,Title strongly indicates ICT role: 'GENESYS Architect (M/F)',Data platform architect maps to Data Engineer,True,Low ICT classification confidence (0.5)
99009,Network Architect (M/F),AFRICASHORE,,Network Engineer / Network Administrator,Networks,Networks,Not Specified,True,0.6,0.85,0.9,Title strongly indicates ICT role: 'Network Architect (M/F)'; Weak ICT function evidence (1 keyword clusters),Network Architect maps to Network Engineer,False,
99010,DBA IMS/DB2 Z/OS(M/F),AFRICASHORE,,Database Administrator,Data & Database,Data & Database,Not Specified,True,0.5,0.95,1.0,Title strongly indicates ICT role: 'DBA IMS/DB2 Z/OS(M/F)',Title indicates database administration,True,Low ICT classification confidence (0.5)
99011,Z/OS System Engineer Senior Storage(M/F),AFRICASHORE,,Systems Administrator,Systems & Infrastructure,Systems & Infrastructure,Senior,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'Z/OS System Engineer Senior Storage(M/F)',Mainframe/middleware system engineer maps to Systems Administrator,True,Low ICT classification confidence (0.5)
99012,Middleware System Engineer Z/OS (M/F),AFRICASHORE,,Systems Administrator,Systems & Infrastructure,Systems & Infrastructure,Not Specified,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'Middleware System Engineer Z/OS (M/F)',Mainframe/middleware system engineer maps to Systems Administrator,True,Low ICT classification confidence (0.5)
103079,SAP ABAP Consultant (M/F),AFRICASHORE,,Systems Analyst / IT Business Analyst,Systems Analysis,Systems Analysis,Not Specified,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'SAP ABAP Consultant (M/F)',SAP consultant/developer maps to Systems Analyst,True,Low ICT classification confidence (0.5)
103080,SAP FI-CO/PS Consultant (M/F),AFRICASHORE,,Systems Analyst / IT Business Analyst,Systems Analysis,Systems Analysis,Not Specified,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'SAP FI-CO/PS Consultant (M/F)',SAP consultant/developer maps to Systems Analyst,True,Low ICT classification confidence (0.5)
103081,SAP EHS Consultant (M/F),AFRICASHORE,,Systems Analyst / IT Business Analyst,Systems Analysis,Systems Analysis,Not Specified,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'SAP EHS Consultant (M/F)',SAP consultant/developer maps to Systems Analyst,True,Low ICT classification confidence (0.5)
103082,Senior SAP Consultant (M/F),AFRICASHORE,,Systems Analyst / IT Business Analyst,Systems Analysis,Systems Analysis,Senior,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'Senior SAP Consultant (M/F)',SAP consultant/developer maps to Systems Analyst,True,Low ICT classification confidence (0.5)
103083,SAP MM/SD/EWM/PP/QM/CAR Consultant (M/F),AFRICASHORE,,Systems Analyst / IT Business Analyst,Systems Analysis,Systems Analysis,Not Specified,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'SAP MM/SD/EWM/PP/QM/CAR Consultant (M/F)',SAP consultant/developer maps to Systems Analyst,True,Low ICT classification confidence (0.5)
103084,Lead Java JEE Developer (M/F),AFRICASHORE,,Backend Developer,Software Development,Software Development,Lead,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'Lead Java JEE Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5)
responsable-informatique,Responsable Informatique,Ecole Polaris,"Computer and IT, Other",ICT Manager / IT Manager,ICT Management,ICT Management,Entry Level,True,0.65,0.9,0.95,"Title strongly indicates ICT role: 'Responsable Informatique'; Industry includes 'Computer and IT': Computer and IT, Other",Title indicates ICT management role,False,
quality-assurance-qa-engineer,Quality Assurance (QA) Engineer,Development Bank of Rwanda (BRD),"Computer and IT, Engineering, Other",QA / Software Test Engineer,Software Quality,Software Quality,Mid-Level,True,1.0,0.95,1.0,"Title strongly indicates ICT role: 'Quality Assurance (QA) Engineer'; Industry includes 'Computer and IT': Computer and IT, Engineering, Other; Strong ICT function evidence (5 keyword clusters); Engineering industry + ICT title",Title indicates QA/testing role,False,
technical-advisor-software-developer-1,Technical Advisor Software Developer,GIZ Rwanda,"Administration, Economics, Finance and investment, Law",Software Developer / Software Engineer,Software Development,Software Development,Senior,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'Technical Advisor Software Developer'; Weak ICT function evidence (1 keyword clusters),Title indicates software development,False,
specialist-data-analyst,"Specialist, Data Analyst",Development Bank of Rwanda (BRD),"Computer and IT, Other",Data Analyst,Data & Analytics,Data & Analytics,Senior,True,1.0,0.9,0.95,"Title strongly indicates ICT role: 'Specialist, Data Analyst'; Industry includes 'Computer and IT': Computer and IT, Other; Strong ICT function evidence (5 keyword clusters)",Title indicates data analysis role,False,
full-stack-software-engineer,Full Stack Software Engineer,Development Bank of Rwanda (BRD),"Computer and IT, Engineering",Full-Stack Developer,Software Development,Software Development,Mid-Level,True,1.0,0.95,1.0,"Title strongly indicates ICT role: 'Full Stack Software Engineer'; Industry includes 'Computer and IT': Computer and IT, Engineering; Strong ICT function evidence (9 keyword clusters); Engineering industry + ICT title",Title contains 'full stack',False,
it-officer-20,IT Officer,KARISIMBI SACCO NYABIHU,"Computer and IT, Other",IT Officer / ICT Administrator,IT Operations & Support,Systems & Infrastructure,Entry Level,True,0.65,0.9,0.95,"Title strongly indicates ICT role: 'IT Officer'; Industry includes 'Computer and IT': Computer and IT, Other",Title indicates IT operations/admin role,False,
devops-engineer,DevOps Engineer,Development Bank of Rwanda (BRD),"Computer and IT, Engineering, Other",DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,Entry Level,True,1.0,0.95,1.0,"Title strongly indicates ICT role: 'DevOps Engineer'; Industry includes 'Computer and IT': Computer and IT, Engineering, Other; Strong ICT function evidence (8 keyword clusters); Engineering industry + ICT title",Title indicates DevOps engineering,False,
